"","M1_1_MSS","M1_2_MSS","M5_1_MSS","M5_2_MSS","T49_1_MSS","T49_2_MSS","M42_1_PD","M42_2_PD","M43_1_PD","M43_2_PD","M64_1_PD","M64_2_PD"
"805",13375.17297,13505.49309,14285.37,22281.00495,8729.181023,8621.628679,3395.660589,5315.521988,74045.47934,61270.91465,27620.52408,27891.07932
"806",4348.292216,1825.293926,2260.752787,6429.932689,8832.812973,9842.844762,3794.567313,3733.012728,25181.50849,25186.98281,4287.992841,3317.770961
"807",986141.4763,841104.7787,749424.6672,1365543.951,1508491.369,1863024.486,618859.7505,429724.8952,776809.4635,926546.1865,580046.8573,453844.1721
"808",269719.557,236326.1303,251636.7306,354418.5425,801258.4837,877964.8458,330443.4085,143506.5127,167573.7236,182195.0476,319911.7093,318189.9004
"809",6694.253656,7388.528245,8615.856418,6290.091662,35208.39715,25299.87945,8453.195781,4332.307135,10861.88601,6711.416366,8573.002563,8734.861995
"810",1069.280003,1496.19161,1759.307973,1911.736411,29762.41771,23515.01551,19344.92225,15879.16918,13910.67779,22963.14018,19396.29408,11246.34338
"811",0,0,0,0,11437.11708,9409.854737,0,0,51985.56437,48531.37848,6947.963708,4468.820157
"812",105408.1586,67357.77354,97787.55739,40348.50413,90104.6551,101766.1453,25131.79845,20681.07785,108096.4666,125219.3029,51284.54866,49523.5568
"813",148869.2365,134569.4861,243961.509,366026.1914,426792.5396,320098.0563,197011.1323,193231.6842,593102.0716,605611.8869,505894.9283,348727.9138
"814",97037.92548,85634.64864,184872.7951,285060.8301,353096.5761,327871.3829,229086.9596,252714.4065,206551.6427,211673.4266,505500.6524,500770.938
"815",46216.16925,57144.38231,16993.12356,29369.38286,66747.28216,71661.92205,10313.33171,8081.077426,643008.1786,713762.6548,47795.13177,42123.8816
"816",67861.74332,86887.603,24105.79958,100511.9857,285657.0352,142858.2495,93764.028,180355.7033,6501.906622,2105.300154,56675.6206,44157.43748
"817",210004.4199,233154.9982,317336.9868,425306.1022,365449.0497,283119.1334,198460.3026,172145.9023,345083.1352,320197.4296,334792.1362,257700.7763
"818",18395.25137,18183.47511,16071.12329,23179.83306,65646.3352,57338.17849,39274.45512,18848.85942,35469.55601,33658.77084,41605.39676,28099.30701
"819",4674.435167,0,3059.594413,0,23976.66152,19316.37019,2753.987129,12925.64637,26954.08114,25894.13106,16760.24517,17106.61945
